,id,x,y,z,visibility,x_px,y_px
0,0,0.5050280094146729,0.12414262443780899,-0.5132749676704407,0.9998321533203125,202,74
1,1,0.5218790769577026,0.10571178793907166,-0.470589816570282,0.9995505213737488,208,63
2,2,0.5303709506988525,0.10589426755905151,-0.47060874104499817,0.9995242357254028,212,63
3,3,0.540959358215332,0.10586494207382202,-0.4705726206302643,0.9994114637374878,216,63
4,4,0.48990875482559204,0.10663509368896484,-0.46351784467697144,0.9995637536048889,195,63
5,5,0.47785723209381104,0.10711079835891724,-0.4635409414768219,0.9995889067649841,191,64
6,6,0.4690631628036499,0.10743850469589233,-0.46363240480422974,0.9995884299278259,187,64
7,7,0.5588988661766052,0.11583933234214783,-0.20060956478118896,0.9993782043457031,223,69
8,8,0.45550861954689026,0.11773872375488281,-0.16412416100502014,0.9996128678321838,182,70
9,9,0.5270002484321594,0.1431300938129425,-0.4069455862045288,0.9998327493667603,210,85
10,10,0.487998366355896,0.14377501606941223,-0.3975970149040222,0.9998540878295898,195,86
11,11,0.6438236832618713,0.21674929559230804,-0.11808361858129501,0.9997044205665588,257,130
12,12,0.38385236263275146,0.21692776679992676,-0.0612349696457386,0.9997939467430115,153,130
13,13,0.6505917906761169,0.33578580617904663,-0.357573002576828,0.9723635911941528,260,201
14,14,0.35103827714920044,0.3281034827232361,-0.3512408435344696,0.989828884601593,140,196
15,15,0.4557158648967743,0.29489192366600037,-0.6180705428123474,0.948753297328949,182,176
16,16,0.5601221323013306,0.32139575481414795,-0.6605972051620483,0.9634029865264893,224,192
17,17,0.4153190851211548,0.296059787273407,-0.6940615773200989,0.892850399017334,166,177
18,18,0.6155934929847717,0.32129785418510437,-0.7474179863929749,0.9045718908309937,246,192
19,19,0.41408678889274597,0.2840234041213989,-0.6570785641670227,0.8807973861694336,165,170
20,20,0.6183756589889526,0.2990196943283081,-0.6913308501243591,0.8879796862602234,247,179
21,21,0.4301518499851227,0.2823968529701233,-0.6050244569778442,0.8513102531433105,172,169
22,22,0.5995607972145081,0.29829686880111694,-0.6412233114242554,0.8493301272392273,239,178
23,23,0.582146942615509,0.5059228539466858,-0.02329763025045395,0.9996507167816162,232,303
24,24,0.43127042055130005,0.5052341818809509,0.02303783968091011,0.9994587302207947,172,303
25,25,0.5827788710594177,0.7061927318572998,-0.0910232812166214,0.996651828289032,233,423
26,26,0.42248114943504333,0.7025632858276367,0.04904380813241005,0.9972898960113525,168,421
27,27,0.5770752429962158,0.8666176199913025,0.5472056269645691,0.9911995530128479,230,519
28,28,0.45804423093795776,0.8553724884986877,0.6044778227806091,0.9904083013534546,183,513
29,29,0.5648962259292603,0.8780235052108765,0.5938869118690491,0.8618170022964478,225,526
30,30,0.47736409306526184,0.8686126470565796,0.6480043530464172,0.8573018908500671,190,521
31,31,0.5839914083480835,0.944414496421814,0.2741047143936157,0.9818628430366516,233,566
32,32,0.4490634799003601,0.9306211471557617,0.355843722820282,0.9841301441192627,179,558
